artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,Mean (Taylor's Version),30Y4CV7A6YqtQtTTo7Ue4j,0.526,0.7,-3.95,0.321,0.0,0.213,0.596,163.949,238693
Taylor Swift,The Story Of Us (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,0.516,0.784,-2.636,0.00136,0.0,0.0499,0.552,139.787,267653
Taylor Swift,Never Grow Up (Taylor's Version),2EFZ9emtKWEglWUQGEQ3P9,0.684,0.339,-7.259,0.867,0.0,0.194,0.572,125.054,292920
Taylor Swift,Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,0.52,0.553,-3.546,0.016,0.0,0.165,0.227,81.949,353253
Taylor Swift,Better Than Revenge (Taylor's Version),0NwGC0v03ysCYINtg6ns58,0.505,0.893,-3.013,0.000795,0.0,0.178,0.659,145.913,220307
Taylor Swift,Innocent (Taylor's Version),12nBPF4Rh4XLFJV0YLN7uj,0.524,0.611,-5.298,0.0972,0.0,0.127,0.126,133.583,301222
Taylor Swift,Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,0.44,0.916,-1.927,0.00552,0.0,0.252,0.371,162.025,245413
Taylor Swift,Last Kiss (Taylor's Version),59KOoHFcw5XfICnO57holu,0.557,0.362,-8.641,0.443,3.57e-06,0.1,0.187,79.573,369120
Taylor Swift,Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,0.38,0.628,-4.054,0.0162,0.0,0.227,0.0984,203.826,317960
Taylor Swift,Ours (Taylor’s Version),3yNJkriPzWjkkDAWHIAVUq,0.539,0.475,-8.411,0.42,0.0,0.109,0.293,159.824,235803
Taylor Swift,Superman (Taylor’s Version),4evLyY5Ue1Wesc61t2KXAU,0.537,0.733,-3.506,0.00207,0.0,0.11,0.347,131.898,274945
Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4e3ZNTAV6PCrdYMUrUlMpQ,0.547,0.854,-4.753,0.018,0.0,0.156,0.26,131.068,266467
Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,0.524,0.759,-4.714,0.168,0.0,0.104,0.234,77.879,252386
Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,0.695,0.768,-4.883,0.0577,0.0,0.0426,0.813,123.054,273186
Taylor Swift,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),4ABYxlb92WBIjHu7TIKmml,0.578,0.565,-8.064,0.342,0.0,0.0662,0.351,147.781,306062
Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),4s8BIKx4Zh6ryAEz8RTlaU,0.672,0.613,-4.709,0.599,0.0,0.112,0.557,97.041,311765
Taylor Swift,Timeless (Taylor’s Version) (From The Vault),1HCdems7PQZRj42QDWLA0A,0.629,0.578,-5.806,0.332,0.0,0.0868,0.651,142.887,321397
Taylor Swift,Lavender Haze,24emu3sabKISjRkrys28jq,0.735,0.449,-10.56,0.23,0.00126,0.132,0.0955,97.05,202396
Taylor Swift,Maroon,6qxvy9Pe4RJIq5JBVbbwbS,0.655,0.384,-8.29,0.0634,1.45e-06,0.0973,0.0384,108.058,218271
Taylor Swift,Anti-Hero,5qIHFdkW6phMsTZlN2g8Lc,0.633,0.648,-6.645,0.121,2.62e-06,0.161,0.49,96.888,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),7GA86Uo2jYbj8vIXe2nyWd,0.663,0.321,-13.527,0.701,0.000598,0.107,0.153,110.021,256124
Taylor Swift,"You're On Your Own, Kid",6PQOU00xWNrGwCZzboriXy,0.696,0.39,-10.331,0.447,1.55e-05,0.125,0.395,120.032,194207
Taylor Swift,Midnight Rain,4eKMqf9ZMSclDX7V9Ptg7x,0.604,0.375,-11.637,0.71,5.87e-05,0.116,0.203,137.651,174783
Taylor Swift,Question...?,7oomkQSYf1ia2VnVEWfFIU,0.654,0.51,-8.767,0.206,0.0,0.249,0.105,108.874,210557
Taylor Swift,Vigilante Shit,0GKDhq6ZbmSbRHd3eyGlB7,0.872,0.267,-10.764,0.166,2.18e-05,0.123,0.168,79.964,164801
Taylor Swift,Bejeweled,0VpF6RLdCfPIeYRwMu4tZK,0.687,0.551,-9.202,0.0593,0.000143,0.09,0.443,163.994,194166
Taylor Swift,Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,0.48,0.295,-15.512,0.797,0.333,0.12,0.132,110.018,247962
Taylor Swift,Karma,45R112Jz5hQeKgITXgSXzs,0.64,0.619,-7.108,0.062,0.0,0.475,0.121,90.008,204852
Taylor Swift,Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,0.336,0.161,-14.973,0.968,0.00011,0.115,0.407,176.48,188497
Taylor Swift,Mastermind,1QQii3pa5m8MEda0nbkjfw,0.66,0.343,-14.132,0.565,0.00134,0.0922,0.137,125.96,191039
Taylor Swift,The Great War,2VuqMjgoKaOHNM8HpxtXKx,0.57,0.747,-8.93,0.199,2.32e-05,0.0854,0.574,96.016,240356
Taylor Swift,Bigger Than The Whole Sky,71CBDRKmF2VeRKYMG1DFBh,0.42,0.22,-12.584,0.841,0.00131,0.114,0.0705,165.564,218503
